model,log_loss,roc_auc_ovr,accuracy
CLF_cal,1.0257518513922586,0.5975148090582922,0.4463212121212121
MLPv1_cal,1.0309331842281004,0.5781189686580732,0.4219515151515151
Meta_Blend,1.0210462122857396,0.5977847472516572,0.44414545454545457
